call_count,is_exported,used_in_tests,dynamic_call_risk,cyclomatic_complexity,file_depth,dead_code_probability,label
7,1,1,0.53,2,7,0.137,0
0,0,0,0.09,8,3,0.798,1
7,0,1,0.48,12,3,0.134,0
0,0,0,0.58,13,8,0.859,1
10,1,1,0.4,12,9,0.275,0
0,0,0,0.36,4,2,0.714,1
6,1,1,0.12,12,5,0.266,0
10,1,1,0.32,1,3,0.296,0
7,0,1,0.2,13,3,0.119,0
4,0,1,0.55,10,4,0.222,0
8,0,1,0.69,11,8,0.161,0
6,0,1,0.08,8,9,0.164,0
3,1,1,0.19,6,3,0.212,0
10,0,1,0.17,12,7,0.1,0
0,0,0,0.17,6,9,0.804,1
0,0,0,0.04,1,5,0.865,1
0,0,0,0.15,5,5,0.814,1
8,0,1,0.24,3,5,0.098,0
6,1,1,0.28,4,5,0.201,0
0,0,0,0.17,13,5,0.79,1
4,0,1,0.17,6,2,0.108,0
10,0,1,0.44,3,4,0.103,0
0,0,0,0.26,9,8,0.813,1
0,0,0,0.19,13,3,0.974,1
0,0,0,0.49,5,8,0.968,1
5,1,1,0.14,1,1,0.18,0
6,1,1,0.37,11,2,0.254,0
7,0,1,0.35,9,2,0.189,0
3,0,1,0.16,5,7,0.148,0
4,0,1,0.71,6,8,0.286,0
7,1,1,0.11,14,4,0.045,0
0,0,0,0.37,4,9,0.844,1
6,1,1,0.36,9,8,0.265,0
0,0,0,0.23,2,4,0.789,1
0,0,0,0.22,12,5,0.711,1
0,0,0,0.26,5,3,0.717,1
0,0,0,0.02,3,4,0.823,1
3,0,1,0.3,12,3,0.286,0
0,0,0,0.17,8,3,0.82,1
4,0,1,0.12,4,2,0.263,0
2,0,1,0.08,12,4,0.192,0
2,0,1,0.14,6,1,0.107,0
0,0,0,0.49,14,8,0.815,1
6,1,1,0.51,14,3,0.117,0
2,0,1,0.12,6,8,0.229,0
8,1,1,0.09,3,9,0.052,0
0,0,0,0.31,12,9,0.77,1
9,1,1,0.39,1,5,0.233,0
0,0,0,0.27,1,1,0.724,1
10,1,1,0.12,10,9,0.095,0
5,0,1,0.21,11,4,0.079,0
0,0,0,0.45,2,7,0.905,1
0,0,0,0.3,8,3,0.867,1
9,1,1,0.35,9,3,0.096,0
3,0,1,0.37,11,1,0.056,0
2,1,1,0.12,5,5,0.241,0
6,0,1,0.02,4,8,0.181,0
0,0,0,0.46,3,1,0.741,1
0,0,0,0.13,10,1,0.908,1
0,0,0,0.03,2,5,0.764,1
7,1,1,0.58,14,4,0.067,0
6,0,1,0.31,3,9,0.073,0
6,1,1,0.27,7,8,0.104,0
6,0,1,0.29,8,1,0.101,0
6,0,1,0.62,8,2,0.272,0
2,0,1,0.4,8,3,0.033,0
0,0,0,0.44,5,3,0.86,1
0,0,0,0.36,6,5,0.821,1
6,0,1,0.19,4,1,0.072,0
10,0,1,0.39,2,1,0.205,0
0,0,0,0.26,3,3,0.908,1
9,0,1,0.13,10,1,0.269,0
9,0,1,0.54,7,1,0.028,0
0,0,0,0.3,5,4,0.826,1
2,0,1,0.44,11,8,0.107,0
0,0,0,0.13,9,3,0.954,1
8,0,1,0.57,1,7,0.28,0
9,0,1,0.34,2,2,0.263,0
0,0,0,0.35,12,6,0.724,1
0,0,0,0.7,4,8,0.862,1
3,0,1,0.31,6,9,0.274,0
7,0,1,0.24,5,9,0.192,0
10,0,1,0.05,1,4,0.219,0
6,0,1,0.19,10,2,0.058,0
0,0,0,0.21,9,4,0.791,1
0,0,0,0.17,5,2,0.834,1
0,0,0,0.3,6,4,0.754,1
0,0,0,0.11,12,5,0.848,1
0,0,0,0.5,6,9,0.714,1
9,0,1,0.04,9,2,0.117,0
6,0,1,0.26,8,2,0.027,0
0,0,0,0.07,4,3,0.946,1
5,0,1,0.43,14,4,0.12,0
5,1,1,0.05,9,5,0.26,0
0,0,0,0.65,3,2,0.743,1
6,0,1,0.39,11,5,0.184,0
0,0,0,0.16,8,5,0.942,1
5,1,1,0.36,14,7,0.272,0
0,0,0,0.11,10,5,0.709,1
0,0,0,0.41,13,1,0.961,1
0,0,0,0.46,12,4,0.959,1
9,1,1,0.37,9,6,0.102,0
2,1,1,0.47,11,9,0.236,0
3,1,1,0.23,2,8,0.229,0
0,0,0,0.27,10,8,0.976,1
0,0,0,0.1,5,9,0.856,1
0,0,0,0.29,8,9,0.924,1
0,0,0,0.2,13,1,0.97,1
5,0,1,0.24,8,7,0.221,0
7,0,1,0.11,6,2,0.053,0
0,0,0,0.33,5,5,0.847,1
8,0,1,0.28,3,3,0.293,0
0,0,0,0.23,7,4,0.732,1
4,1,1,0.24,9,1,0.105,0
0,0,0,0.22,9,6,0.855,1
0,0,0,0.46,14,3,0.718,1
2,0,1,0.51,3,9,0.296,0
0,0,0,0.59,14,9,0.738,1
0,0,0,0.45,2,9,0.975,1
9,1,1,0.28,1,2,0.193,0
10,0,1,0.14,5,3,0.262,0
9,0,1,0.35,10,4,0.148,0
5,1,1,0.16,13,3,0.175,0
0,0,0,0.17,10,6,0.906,1
0,0,0,0.3,2,1,0.762,1
10,0,1,0.34,9,2,0.175,0
9,0,1,0.22,12,4,0.286,0
4,0,1,0.2,10,2,0.112,0
0,0,0,0.32,4,5,0.956,1
3,0,1,0.18,9,2,0.205,0
8,0,1,0.45,7,4,0.286,0
0,0,0,0.47,8,8,0.837,1
0,0,0,0.62,11,6,0.933,1
2,0,1,0.5,8,2,0.187,0
6,0,1,0.23,11,6,0.216,0
10,0,1,0.41,11,3,0.046,0
4,0,1,0.53,8,2,0.056,0
10,0,1,0.22,5,6,0.126,0
4,0,1,0.28,13,6,0.254,0
10,0,1,0.21,2,6,0.237,0
4,0,1,0.48,2,9,0.105,0
0,0,0,0.41,4,8,0.707,1
4,0,1,0.5,13,1,0.154,0
7,0,1,0.18,8,8,0.261,0
0,0,0,0.05,12,7,0.846,1
0,0,0,0.1,4,8,0.851,1
0,0,0,0.25,5,7,0.788,1
0,0,0,0.3,9,3,0.762,1
6,0,1,0.21,4,1,0.046,0
9,0,1,0.21,11,2,0.07,0
0,0,0,0.17,2,9,0.751,1
0,0,0,0.09,11,2,0.855,1
0,0,0,0.37,12,4,0.94,1
0,0,0,0.16,9,6,0.884,1
8,0,1,0.21,13,5,0.251,0
0,0,0,0.36,10,6,0.898,1
9,0,1,0.14,2,1,0.194,0
0,0,0,0.1,11,4,0.966,1
4,0,1,0.37,13,3,0.167,0
8,1,1,0.3,12,9,0.068,0
0,0,0,0.2,8,5,0.897,1
0,0,0,0.14,12,9,0.767,1
7,0,1,0.3,13,1,0.081,0
0,0,0,0.13,6,5,0.9,1
0,0,0,0.64,6,6,0.785,1
0,0,0,0.49,1,2,0.9,1
0,0,0,0.15,13,7,0.782,1
6,1,1,0.16,12,7,0.223,0
9,0,1,0.13,6,7,0.145,0
8,0,1,0.4,7,6,0.285,0
2,0,1,0.26,4,6,0.154,0
10,0,1,0.38,8,6,0.109,0
4,0,1,0.69,12,2,0.038,0
4,0,1,0.35,8,9,0.126,0
0,0,0,0.37,1,5,0.813,1
0,0,0,0.19,9,2,0.746,1
4,0,1,0.83,9,9,0.263,0
0,0,0,0.33,1,9,0.926,1
2,0,1,0.12,2,3,0.041,0
0,0,0,0.38,1,8,0.864,1
0,0,0,0.23,11,5,0.979,1
0,0,0,0.16,14,3,0.727,1
6,0,1,0.44,5,3,0.077,0
0,0,0,0.06,6,2,0.828,1
2,0,1,0.3,4,6,0.139,0
0,0,0,0.23,8,8,0.702,1
2,0,1,0.2,13,8,0.215,0
10,0,1,0.35,12,2,0.043,0
0,0,0,0.46,4,7,0.744,1
0,0,0,0.15,8,5,0.835,1
0,0,0,0.36,13,1,0.884,1
6,1,1,0.46,9,3,0.108,0
0,0,0,0.3,3,7,0.762,1
10,1,1,0.33,14,8,0.23,0
9,1,1,0.27,1,9,0.182,0
2,0,1,0.46,13,4,0.215,0
0,0,0,0.14,13,8,0.924,1
0,0,0,0.21,4,2,0.894,1
0,0,0,0.54,10,3,0.711,1
0,0,0,0.17,5,6,0.884,1
0,0,0,0.25,12,6,0.948,1
2,0,1,0.29,7,5,0.102,0
2,1,1,0.21,14,1,0.209,0
7,0,1,0.23,3,5,0.288,0
0,0,0,0.68,12,8,0.895,1
5,1,1,0.23,3,8,0.246,0
0,0,0,0.35,11,8,0.719,1
2,0,1,0.08,11,7,0.142,0
3,1,1,0.2,1,8,0.141,0
0,0,0,0.13,14,6,0.709,1
10,1,1,0.4,5,6,0.169,0
10,0,1,0.05,5,8,0.178,0
6,0,1,0.39,7,1,0.208,0
3,0,1,0.54,6,7,0.029,0
0,0,0,0.23,14,6,0.902,1
0,0,0,0.43,10,1,0.808,1
5,0,1,0.26,10,6,0.022,0
4,0,1,0.22,3,1,0.038,0
6,1,1,0.16,2,1,0.167,0
10,0,1,0.41,7,5,0.164,0
0,0,0,0.25,7,9,0.779,1
0,0,0,0.19,1,6,0.861,1
0,0,0,0.42,7,7,0.806,1
10,0,1,0.17,7,2,0.083,0
0,0,0,0.08,2,9,0.832,1
2,0,1,0.42,11,4,0.055,0
4,0,1,0.2,5,9,0.068,0
0,0,0,0.29,9,5,0.905,1
0,0,0,0.44,12,6,0.736,1
0,0,0,0.24,6,1,0.768,1
10,0,1,0.09,5,3,0.104,0
0,0,0,0.25,4,6,0.971,1
0,0,0,0.14,11,3,0.925,1
8,1,1,0.33,8,4,0.197,0
9,0,1,0.36,12,9,0.225,0
10,1,1,0.74,7,8,0.141,0
0,0,0,0.15,1,4,0.832,1
0,0,0,0.3,13,1,0.748,1
6,0,1,0.1,1,8,0.057,0
0,0,0,0.38,14,3,0.806,1
10,1,1,0.18,3,3,0.042,0
0,0,0,0.24,2,5,0.842,1
9,0,1,0.28,2,9,0.032,0
7,1,1,0.36,11,3,0.147,0
5,1,1,0.02,10,3,0.164,0
0,0,0,0.1,12,5,0.836,1
0,0,0,0.4,11,4,0.933,1
2,0,1,0.26,6,6,0.164,0
4,0,1,0.52,5,6,0.293,0
3,1,1,0.33,14,7,0.294,0
8,0,1,0.41,5,7,0.17,0
0,0,0,0.11,1,9,0.787,1
5,0,1,0.19,3,9,0.091,0
2,0,1,0.05,6,4,0.265,0
0,0,0,0.52,6,9,0.939,1
0,0,0,0.16,12,6,0.762,1
0,0,0,0.16,9,6,0.817,1
6,0,1,0.3,9,1,0.15,0
0,0,0,0.5,13,8,0.862,1
0,0,0,0.07,7,2,0.829,1
0,0,0,0.36,10,6,0.794,1
3,1,1,0.02,4,5,0.107,0
10,1,1,0.24,11,2,0.174,0
0,0,0,0.06,7,1,0.833,1
7,0,1,0.16,6,7,0.164,0
0,0,0,0.09,1,8,0.766,1
0,0,0,0.3,7,9,0.803,1
5,0,1,0.13,6,2,0.142,0
5,0,1,0.1,12,8,0.25,0
7,0,1,0.09,14,4,0.146,0
0,0,0,0.05,8,4,0.916,1
0,0,0,0.3,10,9,0.739,1
2,0,1,0.43,8,5,0.109,0
0,0,0,0.74,3,9,0.857,1
0,0,0,0.01,5,6,0.782,1
8,0,1,0.1,4,7,0.134,0
0,0,0,0.4,14,6,0.771,1
0,0,0,0.4,1,2,0.726,1
0,0,0,0.34,8,4,0.834,1
4,0,1,0.52,10,5,0.279,0
4,1,1,0.35,8,2,0.024,0
7,0,1,0.32,14,4,0.169,0
0,0,0,0.25,10,9,0.77,1
2,0,1,0.45,10,8,0.073,0
0,0,0,0.38,8,4,0.856,1
10,0,1,0.18,4,5,0.029,0
10,1,1,0.04,8,7,0.081,0
10,0,1,0.09,9,5,0.125,0
0,0,0,0.08,5,3,0.736,1
4,0,1,0.28,5,3,0.268,0
0,0,0,0.13,6,9,0.715,1
9,1,1,0.34,3,8,0.149,0
6,0,1,0.07,13,2,0.277,0
2,0,1,0.24,5,6,0.155,0
6,0,1,0.07,2,3,0.115,0
0,0,0,0.16,14,6,0.762,1
0,0,0,0.12,14,1,0.921,1
3,0,1,0.35,1,4,0.238,0
0,0,0,0.78,2,4,0.713,1
0,0,0,0.25,12,7,0.896,1
0,0,0,0.22,9,1,0.775,1
9,1,1,0.46,13,6,0.054,0
3,0,1,0.25,2,7,0.034,0
0,0,0,0.47,7,1,0.838,1
9,0,1,0.58,14,4,0.072,0
7,1,1,0.16,5,2,0.132,0
0,0,0,0.21,2,2,0.761,1
0,0,0,0.2,2,6,0.842,1
0,0,0,0.09,3,5,0.724,1
0,0,0,0.13,4,8,0.927,1
7,0,1,0.27,14,1,0.156,0
3,0,1,0.46,6,5,0.072,0
0,0,0,0.66,14,5,0.756,1
0,0,0,0.5,14,6,0.756,1
3,1,1,0.29,1,5,0.063,0
0,0,0,0.17,10,5,0.915,1
9,0,1,0.44,11,6,0.244,0
4,0,1,0.24,4,4,0.056,0
0,0,0,0.32,13,1,0.852,1
6,1,1,0.29,14,7,0.212,0
0,0,0,0.34,6,7,0.719,1
9,0,1,0.2,6,2,0.127,0
4,0,1,0.09,2,3,0.068,0
0,0,0,0.68,6,3,0.849,1
0,0,0,0.1,8,8,0.844,1
0,0,0,0.21,12,4,0.758,1
0,0,0,0.38,8,8,0.875,1
0,0,0,0.36,3,5,0.82,1
5,1,1,0.22,10,7,0.22,0
3,0,1,0.27,9,5,0.257,0
0,0,0,0.52,10,3,0.794,1
7,0,1,0.66,10,6,0.234,0
8,1,1,0.71,10,5,0.256,0
2,0,1,0.39,10,6,0.27,0
7,1,1,0.11,5,3,0.092,0
0,0,0,0.42,12,1,0.881,1
4,1,1,0.48,9,1,0.16,0
7,0,1,0.3,11,1,0.051,0
0,0,0,0.18,1,6,0.87,1
0,0,0,0.58,6,4,0.845,1
5,0,1,0.06,14,8,0.028,0
0,0,0,0.18,5,4,0.882,1
0,0,0,0.06,1,7,0.974,1
0,0,0,0.02,8,2,0.958,1
0,0,0,0.34,14,8,0.73,1
0,0,0,0.14,8,7,0.816,1
6,0,1,0.18,6,8,0.224,0
8,0,1,0.49,11,5,0.144,0
0,0,0,0.28,13,5,0.738,1
0,0,0,0.35,13,4,0.892,1
0,0,0,0.2,4,3,0.885,1
0,0,0,0.13,11,8,0.746,1
0,0,0,0.16,9,4,0.827,1
0,0,0,0.31,6,4,0.71,1
9,0,1,0.34,13,1,0.221,0
3,0,1,0.2,14,9,0.278,0
6,0,1,0.17,8,2,0.229,0
0,0,0,0.19,11,9,0.97,1
0,0,0,0.21,1,5,0.86,1
0,0,0,0.38,3,7,0.706,1
10,0,1,0.31,6,9,0.036,0
0,0,0,0.32,9,9,0.945,1
0,0,0,0.16,7,1,0.959,1
9,0,1,0.09,9,2,0.18,0
0,0,0,0.25,11,7,0.842,1
0,0,0,0.11,2,2,0.887,1
10,0,1,0.05,1,3,0.148,0
7,0,1,0.12,14,8,0.096,0
0,0,0,0.22,12,8,0.954,1
0,0,0,0.25,1,4,0.856,1
5,1,1,0.13,8,4,0.089,0
0,0,0,0.1,1,5,0.701,1
0,0,0,0.46,14,2,0.921,1
0,0,0,0.34,2,4,0.857,1
0,0,0,0.71,8,7,0.915,1
0,0,0,0.49,11,3,0.833,1
0,0,0,0.33,5,3,0.73,1
0,0,0,0.2,2,4,0.78,1
0,0,0,0.4,10,9,0.748,1
8,1,1,0.24,7,8,0.061,0
6,0,1,0.22,8,1,0.257,0
4,0,1,0.56,4,9,0.055,0
0,0,0,0.32,5,7,0.784,1
9,1,1,0.17,8,3,0.261,0
8,1,1,0.28,3,8,0.103,0
0,0,0,0.06,7,4,0.84,1
9,0,1,0.4,10,7,0.057,0
0,0,0,0.25,5,5,0.934,1
5,1,1,0.27,9,6,0.16,0
6,1,1,0.14,7,4,0.124,0
0,0,0,0.26,5,5,0.919,1
0,0,0,0.51,4,4,0.978,1
2,1,1,0.24,13,9,0.104,0
4,1,1,0.21,14,7,0.129,0
7,1,1,0.31,5,3,0.1,0
9,0,1,0.15,14,6,0.118,0
2,1,1,0.15,6,4,0.077,0
0,0,0,0.16,10,3,0.85,1
7,0,1,0.05,5,6,0.124,0
0,0,0,0.41,7,4,0.917,1
8,0,1,0.32,7,2,0.1,0
6,0,1,0.02,13,6,0.052,0
0,0,0,0.45,11,1,0.896,1
4,0,1,0.14,6,9,0.121,0
0,0,0,0.13,6,7,0.841,1
0,0,0,0.17,8,6,0.782,1
0,0,0,0.28,1,7,0.909,1
0,0,0,0.23,5,6,0.822,1
8,0,1,0.36,8,1,0.047,0
0,0,0,0.53,13,4,0.95,1
9,0,1,0.38,9,5,0.118,0
0,0,0,0.4,14,6,0.967,1
0,0,0,0.2,5,7,0.967,1
2,0,1,0.5,12,9,0.046,0
0,0,0,0.19,5,4,0.765,1
8,0,1,0.14,12,8,0.058,0
0,0,0,0.06,13,5,0.928,1
0,0,0,0.31,14,3,0.892,1
4,0,1,0.42,12,3,0.08,0
0,0,0,0.41,1,6,0.845,1
7,0,1,0.13,2,7,0.169,0
6,0,1,0.25,13,7,0.035,0
0,0,0,0.19,7,4,0.821,1
0,0,0,0.58,9,3,0.747,1
5,1,1,0.34,5,3,0.29,0
2,1,1,0.2,10,9,0.279,0
8,0,1,0.29,2,6,0.291,0
0,0,0,0.6,12,3,0.849,1
4,1,1,0.39,5,4,0.03,0
6,0,1,0.27,13,4,0.181,0
0,0,0,0.19,4,9,0.85,1
0,0,0,0.2,7,1,0.858,1
0,0,0,0.21,6,4,0.942,1
0,0,0,0.17,1,6,0.883,1
3,0,1,0.42,6,8,0.115,0
0,0,0,0.16,1,8,0.941,1
0,0,0,0.42,13,2,0.963,1
0,0,0,0.35,7,1,0.875,1
0,0,0,0.23,2,8,0.81,1
0,0,0,0.29,7,1,0.779,1
0,0,0,0.31,1,1,0.829,1
6,1,1,0.26,7,8,0.11,0
10,0,1,0.04,5,4,0.252,0
4,0,1,0.29,12,8,0.116,0
0,0,0,0.08,10,3,0.911,1
0,0,0,0.18,4,3,0.788,1
0,0,0,0.2,2,2,0.705,1
0,0,0,0.43,2,6,0.89,1
3,0,1,0.49,5,2,0.022,0
0,0,0,0.74,14,1,0.9,1
8,1,1,0.06,11,4,0.023,0
7,0,1,0.4,12,3,0.247,0
0,0,0,0.04,5,9,0.725,1
6,0,1,0.08,11,3,0.157,0
8,1,1,0.15,6,4,0.097,0
7,1,1,0.18,2,1,0.23,0
0,0,0,0.32,8,1,0.867,1
0,0,0,0.15,1,5,0.71,1
7,0,1,0.49,5,9,0.073,0
0,0,0,0.08,7,7,0.968,1
4,1,1,0.17,11,9,0.16,0
9,0,1,0.38,4,9,0.06,0
3,1,1,0.27,2,9,0.089,0
0,0,0,0.31,12,3,0.811,1
5,0,1,0.49,14,3,0.097,0
0,0,0,0.33,5,1,0.846,1
0,0,0,0.31,4,1,0.901,1
0,0,0,0.2,4,7,0.784,1
6,0,1,0.15,7,3,0.166,0
6,0,1,0.59,14,6,0.151,0
0,0,0,0.34,2,1,0.952,1
6,1,1,0.18,8,1,0.162,0
8,0,1,0.2,13,6,0.103,0
10,0,1,0.38,6,1,0.123,0
5,0,1,0.41,3,6,0.057,0
2,0,1,0.44,6,3,0.125,0
0,0,0,0.6,6,2,0.815,1
0,0,0,0.38,2,8,0.93,1
0,0,0,0.34,4,4,0.73,1
2,0,1,0.27,9,2,0.194,0
0,0,0,0.36,4,2,0.771,1
0,0,0,0.71,3,4,0.931,1
10,0,1,0.13,1,3,0.053,0
3,0,1,0.23,14,1,0.199,0
6,0,1,0.87,2,6,0.136,0
7,0,1,0.31,10,6,0.173,0
0,0,0,0.22,12,9,0.727,1
0,0,0,0.57,12,9,0.713,1
0,0,0,0.19,6,7,0.757,1
0,0,0,0.14,12,9,0.849,1
0,0,0,0.18,5,7,0.851,1
7,0,1,0.47,10,8,0.243,0
0,0,0,0.14,12,6,0.94,1
0,0,0,0.07,10,7,0.97,1
